,rank_2020,City,state,population_2020,population_2010,land_area_sqmi,density,one_adult_no_kids_living_wage,one_adult_one_kid_living_wage,one_adult_two_kids_living_wage,one_adult_three_kids_living_wage,two_adults_one_working_no_kids_living_wage,two_adults_one_working_one_kid_living_wage,two_adults_one_working_two_kids_living_wage,two_adults_one_working_three_kids_living_wage,two_adults_both_working_no_kids_living_wage,two_adults_both_working_one_kid_living_wage,two_adults_both_working_two_kids_living_wage,two_adults_both_working_three_kids_living_wage,Rank,Total cost of living,Median contract rent,Food cost per person,Utility costs,Gas costs,Median individual income,Median household income
62,63,Saint Paul,Minnesota,311527,285068,52.0,5991,15.65,32.94,41.53,54.72,25.6,30.36,34.11,38.0,12.25,17.91,22.74,27.46,41,1613,928,357,205,124,32390,63174
63,64,Santa Ana,California,310227,324528,27.3,11364,22.44,45.36,55.85,74.15,34.1,41.01,44.99,52.08,17.05,24.26,30.01,37.31,10,2244,1541,385,144,173,26272,70084
64,65,Cincinnati,Ohio,309317,296943,77.8,3976,13.13,28.95,37.1,49.32,21.88,26.14,29.74,32.13,10.63,15.85,20.55,24.75,73,1226,660,311,134,120,29282,46260
65,66,Irvine,California,307670,212375,65.6,4690,22.44,45.36,55.85,74.15,34.1,41.01,44.99,52.08,17.05,24.26,30.01,37.31,1,3062,2364,372,139,187,55484,111574
66,67,Orlando,Florida,307573,238300,110.6,2781,15.44,31.05,38.29,49.19,24.34,28.88,32.28,35.03,11.92,16.83,20.91,24.68,27,1779,1148,329,172,129,31258,58819
67,68,Pittsburgh,Pennsylvania,302971,305704,55.4,5469,13.08,26.83,33.91,43.68,21.0,24.94,28.36,30.46,10.28,14.75,18.74,22.07,40,1618,863,415,198,142,30974,53799
68,69,St. Louis,Missouri,301578,319294,61.7,4888,14.07,30.38,37.89,48.59,23.28,28.37,32.07,34.26,11.4,16.6,20.87,24.39,71,1265,655,317,180,113,31415,47176
69,70,Greensboro,North Carolina,299035,269666,129.6,2307,14.19,28.86,36.22,46.65,22.84,26.95,30.59,32.69,11.29,15.83,20.01,23.41,58,1392,768,349,151,123,27076,49748
70,71,Jersey City,New Jersey,292449,247597,14.7,19894,20.0,38.99,49.18,64.3,29.16,34.35,38.13,42.42,14.03,20.95,26.53,32.4,15,2032,1414,399,89,130,46142,81693
71,72,Anchorage,Alaska,291247,291826,1706.8,171,14.93,29.65,36.98,49.02,23.03,27.81,31.36,35.44,11.33,16.24,20.35,24.72,14,2078,1156,483,289,149,38723,82716
72,73,Lincoln,Nebraska,291082,258379,97.7,2979,13.86,29.77,37.26,48.49,23.29,27.83,31.57,34.3,11.48,16.31,20.58,24.34,57,1395,753,395,131,117,31678,59228
73,74,Plano,Texas,285494,259841,71.7,3982,15.21,30.73,37.53,48.15,24.12,29.01,32.41,35.33,12.06,16.67,20.53,24.15,18,2007,1292,397,200,118,48349,93321
